Date,Open,High,Low,Close,Adj Close,Volume
2012-05-31,94.900002,96.650002,93.699997,95.699997,82.278381,4833000
2012-06-01,94.070000,94.199997,92.190002,92.639999,79.647514,5384700
2012-06-04,92.760002,93.019997,90.550003,91.000000,78.237541,5332600
2012-06-05,90.959999,93.000000,90.709999,92.209999,79.277832,4682900
2012-06-06,93.040001,95.070000,92.900002,94.959999,81.642166,6399600
2012-06-07,96.639999,97.500000,93.290001,94.000000,80.816780,6068400
2012-06-08,93.629997,94.839996,92.889999,94.540001,81.281052,3366700
2012-06-11,96.010002,96.760002,92.660004,92.800003,79.785103,4941700
2012-06-12,92.910004,94.040001,92.519997,94.040001,80.851181,3668500
2012-06-13,93.320000,94.419998,92.269997,92.720001,79.716286,4694700
2012-06-14,92.940002,94.290001,92.510002,93.820000,80.662041,4461000
2012-06-15,93.680000,95.769997,92.750000,95.660004,82.243973,6186200
2012-06-18,95.239998,95.269997,93.320000,93.629997,80.498680,4081400
2012-06-19,94.300003,97.470001,94.150002,96.370003,82.854408,5295200
2012-06-20,97.010002,97.599998,95.370003,96.550003,83.009155,4941300
2012-06-21,96.800003,96.870003,93.870003,93.900002,80.730782,5577700
2012-06-22,95.320000,95.320000,93.160004,93.629997,80.498680,6720200
2012-06-25,92.360001,92.400002,90.660004,91.220001,78.426659,4211300
2012-06-26,91.489998,91.830002,90.430000,91.029999,78.263313,4248000
2012-06-27,91.190002,93.790001,91.019997,93.269997,80.189171,3576100
2012-06-28,92.089996,93.519997,91.330002,93.489998,80.378296,4413500
2012-06-29,96.010002,96.180000,94.519997,95.860001,82.415924,6245300
2012-07-02,96.559998,97.300003,95.589996,97.129997,83.507813,3515900
2012-07-03,97.129997,98.769997,96.629997,98.599998,84.771637,2251100
2012-07-05,98.209999,98.209999,95.889999,95.919998,82.467484,3736900
2012-07-06,94.639999,96.000000,94.500000,95.470001,82.080612,3312800
2012-07-09,94.839996,95.349998,93.669998,94.470001,81.220871,4121300
2012-07-10,94.860001,95.300003,93.150002,94.250000,81.031700,3668600
2012-07-11,93.879997,95.470001,93.750000,95.129997,81.788315,4516400
